[e2] config_hash=b0263d9f95 commit=a22e680-dirty
[e2] scene_S_low/seed0: patches=526 init=3 gt_gaps=60 full_st=13 setup=0.9s
[e2]   B0_random: status=ok awc=0.357 len=113m st=6 (0.49s)
[e2]   Bdisp_maxmin: status=ok awc=0.872 len=205m st=6 (0.64s)
[e2]   B1_patent: status=ok awc=0.694 len=130m st=6 (6.71s)
[e2]   B5_occ_rng: status=ok awc=0.985 len=199m st=6 (28.34s)
[e2]   B10_full: status=ok awc=0.990 len=174m st=6 (128.35s)
[e2] scene_S_low/seed1: patches=486 init=3 gt_gaps=42 full_st=14 setup=1.0s
[e2]   B0_random: status=ok awc=0.467 len=145m st=6 (0.53s)
[e2]   Bdisp_maxmin: status=ok awc=0.977 len=222m st=6 (1.31s)
[e2]   B1_patent: status=ok awc=0.845 len=68m st=6 (5.45s)
[e2]   B5_occ_rng: status=ok awc=0.979 len=216m st=6 (26.7s)
[e2]   B10_full: status=ok awc=0.989 len=198m st=6 (102.11s)
[e2] scene_S_low/seed2: patches=522 init=3 gt_gaps=44 full_st=13 setup=1.0s
[e2]   B0_random: status=ok awc=0.210 len=100m st=6 (0.53s)
[e2]   Bdisp_maxmin: status=ok awc=0.939 len=231m st=6 (0.76s)
[e2]   B1_patent: status=ok awc=0.867 len=100m st=6 (7.46s)
[e2]   B5_occ_rng: status=ok awc=0.980 len=188m st=6 (40.96s)
[e2]   B10_full: status=ok awc=0.973 len=166m st=6 (107.29s)
[e2] scene_S_low/seed3: patches=516 init=3 gt_gaps=50 full_st=13 setup=1.1s
[e2]   B0_random: status=ok awc=0.345 len=108m st=6 (0.48s)
[e2]   Bdisp_maxmin: status=ok awc=0.983 len=200m st=6 (0.81s)
[e2]   B1_patent: status=ok awc=0.813 len=109m st=6 (9.72s)
[e2]   B5_occ_rng: status=ok awc=0.993 len=171m st=6 (36.42s)
[e2]   B10_full: status=ok awc=0.992 len=192m st=6 (144.61s)
[e2] scene_S_low/seed4: patches=522 init=3 gt_gaps=46 full_st=13 setup=1.0s
[e2]   B0_random: status=ok awc=0.559 len=99m st=6 (0.76s)
[e2]   Bdisp_maxmin: status=ok awc=0.882 len=216m st=6 (1.47s)
[e2]   B1_patent: status=ok awc=0.790 len=122m st=6 (7.38s)
[e2]   B5_occ_rng: status=ok awc=0.991 len=191m st=6 (34.41s)
[e2]   B10_full: status=ok awc=0.994 len=198m st=6 (133.23s)
[e2] scene_S_low/seed5: patches=522 init=3 gt_gaps=49 full_st=13 setup=1.3s
[e2]   B0_random: status=ok awc=0.228 len=129m st=6 (1.04s)
[e2]   Bdisp_maxmin: status=ok awc=0.970 len=205m st=6 (2.17s)
[e2]   B1_patent: status=ok awc=0.872 len=100m st=6 (10.63s)
[e2]   B5_occ_rng: status=ok awc=0.987 len=177m st=6 (18.71s)
[e2]   B10_full: status=ok awc=0.992 len=192m st=6 (141.69s)
[e2] scene_S_low/seed6: patches=540 init=3 gt_gaps=51 full_st=13 setup=2.2s
[e2]   B0_random: status=ok awc=0.583 len=145m st=6 (0.93s)
[e2]   Bdisp_maxmin: status=ok awc=0.982 len=235m st=6 (1.94s)
[e2]   B1_patent: status=ok awc=0.733 len=128m st=6 (9.82s)
[e2]   B5_occ_rng: status=ok awc=0.968 len=192m st=6 (27.13s)
[e2]   B10_full: status=ok awc=0.989 len=152m st=6 (122.01s)
[e2] scene_S_low/seed7: patches=492 init=3 gt_gaps=42 full_st=13 setup=1.4s
[e2]   B0_random: status=ok awc=0.717 len=96m st=6 (0.35s)
[e2]   Bdisp_maxmin: status=ok awc=0.764 len=201m st=6 (1.37s)
[e2]   B1_patent: status=ok awc=0.875 len=86m st=6 (8.93s)
[e2]   B5_occ_rng: status=ok awc=0.985 len=203m st=6 (34.36s)
