[e2] config_hash=cbfd14f224 commit=77e257c-dirty
[e2] scene_S_low/seed0: patches=526 init=3 gt_gaps=64 full_st=13 setup=0.7s
[e2]   B0_random: status=ok awc=0.364 len=113m st=6 (0.49s)
[e2]   Bdisp_maxmin: status=ok awc=0.881 len=205m st=6 (0.75s)
[e2]   B1_patent: status=ok awc=0.811 len=107m st=6 (21.63s)
[e2]   B5_occ_rng: status=ok awc=0.988 len=199m st=6 (32.74s)
[e2]   B10_full: status=ok awc=0.988 len=167m st=6 (50.33s)
[e2] scene_S_low/seed1: patches=486 init=3 gt_gaps=41 full_st=14 setup=0.4s
[e2]   B0_random: status=ok awc=0.476 len=145m st=6 (0.41s)
[e2]   Bdisp_maxmin: status=ok awc=0.978 len=222m st=6 (1.53s)
[e2]   B1_patent: status=ok awc=0.677 len=98m st=6 (25.61s)
[e2]   B5_occ_rng: status=ok awc=0.981 len=209m st=6 (34.34s)
[e2]   B10_full: status=ok awc=0.988 len=214m st=6 (52.55s)
[e2] scene_S_low/seed2: patches=522 init=3 gt_gaps=48 full_st=13 setup=0.4s
[e2]   B0_random: status=ok awc=0.205 len=100m st=6 (0.36s)
[e2]   Bdisp_maxmin: status=ok awc=0.945 len=231m st=6 (0.76s)
[e2]   B1_patent: status=ok awc=0.835 len=102m st=6 (22.62s)
[e2]   B5_occ_rng: status=ok awc=0.981 len=192m st=6 (35.76s)
[e2]   B10_full: status=ok awc=0.975 len=166m st=6 (55.19s)
[e2] scene_S_mid/seed0: patches=682 init=3 gt_gaps=57 full_st=10 setup=0.5s
[e2]   B0_random: status=ok awc=0.969 len=116m st=6 (0.35s)
[e2]   Bdisp_maxmin: status=ok awc=0.997 len=207m st=6 (2.82s)
[e2]   B1_patent: status=ok awc=0.906 len=143m st=6 (26.27s)
[e2]   B5_occ_rng: status=ok awc=0.984 len=211m st=6 (36.16s)
[e2]   B10_full: status=ok awc=0.996 len=218m st=6 (52.39s)
[e2] scene_S_mid/seed1: patches=654 init=3 gt_gaps=61 full_st=12 setup=0.5s
[e2]   B0_random: status=ok awc=0.086 len=95m st=6 (0.4s)
[e2]   Bdisp_maxmin: status=ok awc=0.867 len=203m st=6 (1.17s)
[e2]   B1_patent: status=ok awc=0.864 len=90m st=6 (15.91s)
[e2]   B5_occ_rng: status=ok awc=0.985 len=223m st=6 (26.66s)
[e2]   B10_full: status=ok awc=0.997 len=202m st=6 (33.58s)
[e2] scene_S_mid/seed2: patches=672 init=3 gt_gaps=55 full_st=10 setup=0.5s
[e2]   B0_random: status=ok awc=0.964 len=123m st=6 (0.34s)
[e2]   Bdisp_maxmin: status=ok awc=0.974 len=240m st=6 (2.51s)
[e2]   B1_patent: status=ok awc=0.968 len=160m st=6 (30.96s)
[e2]   B5_occ_rng: status=ok awc=0.976 len=201m st=6 (42.44s)
[e2]   B10_full: status=ok awc=0.976 len=250m st=6 (60.87s)
[e2] scene_M_mid/seed0: patches=846 init=3 gt_gaps=91 full_st=21 setup=0.6s
[e2]   B0_random: status=ok awc=0.722 len=194m st=6 (0.43s)
[e2]   Bdisp_maxmin: status=ok awc=0.868 len=207m st=6 (1.14s)
[e2]   B1_patent: status=ok awc=0.529 len=105m st=6 (122.37s)
[e2]   B5_occ_rng: status=ok awc=0.823 len=299m st=6 (132.92s)
[e2]   B10_full: status=ok awc=0.984 len=220m st=6 (127.89s)
[e2] scene_M_mid/seed1: patches=858 init=3 gt_gaps=90 full_st=21 setup=0.8s
[e2]   B0_random: status=ok awc=0.569 len=191m st=6 (0.62s)
[e2]   Bdisp_maxmin: status=ok awc=0.767 len=262m st=6 (1.58s)
[e2]   B1_patent: status=ok awc=0.527 len=105m st=6 (105.32s)
[e2]   B5_occ_rng: status=ok awc=0.761 len=346m st=6 (132.6s)
[e2]   B10_full: status=ok awc=0.849 len=290m st=6 (172.93s)
[e2] scene_M_mid/seed2: patches=864 init=3 gt_gaps=83 full_st=22 setup=0.6s
[e2]   B0_random: status=ok awc=0.711 len=202m st=6 (0.44s)
[e2]   Bdisp_maxmin: status=ok awc=0.789 len=315m st=6 (1.97s)
[e2]   B1_patent: status=ok awc=0.514 len=90m st=6 (100.45s)
[e2]   B5_occ_rng: status=ok awc=0.778 len=349m st=6 (120.61s)
[e2]   B10_full: status=ok awc=0.956 len=284m st=6 (146.76s)
[e2] summary → /home/xqin5/patent_gap_nbv/results/exp2/summary.md
