[e2] config_hash=54f6a8f7d8 commit=30ed463-dirty
[e2] scene_S_low/seed0: patches=526 init=3 gt_gaps=54 full_st=13 setup=0.9s
[e2]   B0_random: status=ok awc=0.809 len=109m st=6 (0.47s)
[e2]   Bdisp_maxmin: status=ok awc=1.000 len=190m st=6 (0.82s)
[e2]   Bbim_offline: status=ok awc=0.715 len=227m st=6 (1.15s)
[e2]   B1_patent: status=ok awc=0.694 len=131m st=6 (6.24s)
[e2]   B5_occ_rng: status=ok awc=0.998 len=206m st=6 (29.38s)
[e2]   B10_full: status=ok awc=0.998 len=127m st=6 (143.22s)
[e2] scene_S_low/seed1: patches=486 init=3 gt_gaps=44 full_st=14 setup=1.1s
[e2]   B0_random: status=ok awc=0.659 len=164m st=6 (0.67s)
[e2]   Bdisp_maxmin: status=ok awc=0.968 len=235m st=6 (1.97s)
[e2]   Bbim_offline: status=ok awc=0.991 len=213m st=6 (0.95s)
[e2]   B1_patent: status=ok awc=0.848 len=68m st=6 (6.23s)
[e2]   B5_occ_rng: status=ok awc=0.992 len=214m st=6 (29.54s)
[e2]   B10_full: status=ok awc=0.992 len=177m st=6 (151.5s)
[e2] scene_S_low/seed2: patches=522 init=3 gt_gaps=59 full_st=13 setup=2.3s
[e2]   B0_random: status=ok awc=0.595 len=97m st=6 (1.14s)
[e2]   Bdisp_maxmin: status=ok awc=0.974 len=211m st=6 (2.08s)
[e2]   Bbim_offline: status=ok awc=0.980 len=206m st=6 (2.18s)
[e2]   B1_patent: status=ok awc=0.843 len=100m st=6 (5.89s)
[e2]   B5_occ_rng: status=ok awc=0.981 len=205m st=6 (29.78s)
[e2]   B10_full: status=ok awc=0.976 len=135m st=6 (95.65s)
[e2] scene_S_low/seed3: patches=516 init=3 gt_gaps=64 full_st=13 setup=1.1s
[e2]   B0_random: status=ok awc=0.327 len=109m st=6 (0.5s)
[e2]   Bdisp_maxmin: status=ok awc=0.991 len=180m st=6 (1.1s)
[e2]   Bbim_offline: status=ok awc=0.762 len=198m st=6 (1.09s)
[e2]   B1_patent: status=ok awc=0.792 len=109m st=6 (7.72s)
[e2]   B5_occ_rng: status=ok awc=0.989 len=203m st=6 (33.48s)
[e2]   B10_full: status=ok awc=0.989 len=132m st=6 (137.34s)
[e2] scene_S_low/seed4: patches=522 init=3 gt_gaps=52 full_st=13 setup=1.2s
[e2]   B0_random: status=ok awc=0.174 len=110m st=6 (0.55s)
[e2]   Bdisp_maxmin: status=ok awc=0.992 len=239m st=6 (1.76s)
[e2]   Bbim_offline: status=ok awc=0.894 len=205m st=6 (0.95s)
[e2]   B1_patent: status=ok awc=0.782 len=109m st=6 (5.82s)
[e2]   B5_occ_rng: status=ok awc=0.990 len=192m st=6 (22.17s)
[e2]   B10_full: status=ok awc=0.989 len=129m st=6 (166.59s)
[e2] scene_S_low/seed5: patches=522 init=3 gt_gaps=61 full_st=13 setup=0.9s
[e2]   B0_random: status=ok awc=0.224 len=150m st=6 (0.35s)
[e2]   Bdisp_maxmin: status=ok awc=0.991 len=234m st=6 (1.03s)
[e2]   Bbim_offline: status=ok awc=0.986 len=228m st=6 (0.95s)
[e2]   B1_patent: status=ok awc=0.853 len=100m st=6 (6.61s)
[e2]   B5_occ_rng: status=ok awc=0.993 len=183m st=6 (37.34s)
[e2]   B10_full: status=ok awc=0.998 len=122m st=6 (149.12s)
[e2] scene_S_low/seed6: patches=540 init=3 gt_gaps=65 full_st=13 setup=0.7s
[e2]   B0_random: status=ok awc=0.490 len=130m st=6 (0.34s)
[e2]   Bdisp_maxmin: status=ok awc=0.982 len=216m st=6 (1.33s)
[e2]   Bbim_offline: status=ok awc=0.580 len=196m st=6 (0.91s)
[e2]   B1_patent: status=ok awc=0.710 len=128m st=6 (5.66s)
[e2]   B5_occ_rng: status=ok awc=0.985 len=196m st=6 (20.04s)
[e2]   B10_full: status=ok awc=0.987 len=133m st=6 (164.25s)
[e2] scene_S_low/seed7: patches=492 init=3 gt_gaps=50 full_st=13 setup=1.9s
[e2]   B0_random: status=ok awc=0.123 len=78m st=6 (0.85s)
[e2]   Bdisp_maxmin: status=ok awc=0.808 len=242m st=6 (3.45s)
[e2]   Bbim_offline: status=ok awc=0.995 len=175m st=6 (0.9s)
[e2]   B1_patent: status=ok awc=0.847 len=86m st=6 (9.63s)
[e2]   B5_occ_rng: status=ok awc=0.993 len=220m st=6 (21.02s)
[e2]   B10_full: status=ok awc=0.997 len=189m st=6 (81.68s)
[e2] scene_S_mid/seed0: patches=682 init=3 gt_gaps=63 full_st=10 setup=0.8s
[e2]   B0_random: status=ok awc=0.324 len=59m st=6 (0.38s)
[e2]   Bdisp_maxmin: status=ok awc=0.982 len=242m st=6 (6.99s)
[e2]   Bbim_offline: status=ok awc=0.963 len=183m st=6 (3.27s)
[e2]   B1_patent: status=ok awc=0.817 len=96m st=6 (8.74s)
[e2]   B5_occ_rng: status=ok awc=0.984 len=232m st=6 (39.08s)
[e2]   B10_full: status=ok awc=0.998 len=108m st=6 (151.84s)
[e2] scene_S_mid/seed1: patches=654 init=3 gt_gaps=80 full_st=12 setup=2.4s
[e2]   B0_random: status=ok awc=0.212 len=115m st=6 (1.14s)
[e2]   Bdisp_maxmin: status=ok awc=0.909 len=231m st=6 (3.99s)
[e2]   Bbim_offline: status=ok awc=0.983 len=195m st=6 (3.22s)
[e2]   B1_patent: status=ok awc=0.793 len=85m st=6 (7.63s)
[e2]   B5_occ_rng: status=ok awc=0.985 len=218m st=6 (31.63s)
[e2]   B10_full: status=ok awc=0.984 len=158m st=6 (150.01s)
[e2] scene_S_mid/seed2: patches=672 init=3 gt_gaps=67 full_st=10 setup=0.8s
[e2]   B0_random: status=ok awc=0.261 len=96m st=6 (0.37s)
[e2]   Bdisp_maxmin: status=ok awc=0.980 len=225m st=6 (6.66s)
[e2]   Bbim_offline: status=ok awc=0.908 len=210m st=6 (3.31s)
[e2]   B1_patent: status=ok awc=0.821 len=81m st=6 (7.56s)
[e2]   B5_occ_rng: status=ok awc=0.969 len=255m st=6 (29.09s)
[e2]   B10_full: status=ok awc=0.975 len=179m st=6 (81.93s)
[e2] scene_S_mid/seed3: patches=670 init=3 gt_gaps=84 full_st=14 setup=0.9s
[e2]   B0_random: status=ok awc=0.951 len=165m st=6 (0.55s)
[e2]   Bdisp_maxmin: status=ok awc=0.862 len=251m st=6 (1.47s)
[e2]   Bbim_offline: status=ok awc=0.899 len=223m st=6 (1.1s)
[e2]   B1_patent: status=ok awc=0.767 len=85m st=6 (7.36s)
[e2]   B5_occ_rng: status=ok awc=0.980 len=209m st=6 (40.0s)
[e2]   B10_full: status=ok awc=0.980 len=173m st=6 (190.75s)
[e2] scene_S_mid/seed4: patches=706 init=3 gt_gaps=69 full_st=9 setup=0.7s
[e2]   B0_random: status=ok awc=0.100 len=116m st=6 (0.37s)
[e2]   Bdisp_maxmin: status=ok awc=0.982 len=243m st=6 (5.48s)
[e2]   Bbim_offline: status=ok awc=0.597 len=205m st=6 (2.91s)
[e2]   B1_patent: status=ok awc=0.874 len=113m st=6 (13.12s)
[e2]   B5_occ_rng: status=ok awc=0.982 len=210m st=6 (36.38s)
[e2]   B10_full: status=ok awc=0.995 len=146m st=6 (156.2s)
[e2] scene_S_mid/seed5: patches=720 init=3 gt_gaps=63 full_st=9 setup=0.8s
[e2]   B0_random: status=ok awc=0.168 len=178m st=6 (0.43s)
[e2]   Bdisp_maxmin: status=ok awc=0.979 len=235m st=6 (2.49s)
[e2]   Bbim_offline: status=ok awc=0.951 len=220m st=6 (0.96s)
[e2]   B1_patent: status=ok awc=0.885 len=127m st=6 (7.87s)
[e2]   B5_occ_rng: status=ok awc=0.981 len=216m st=6 (56.99s)
[e2]   B10_full: status=ok awc=0.997 len=151m st=6 (200.97s)
[e2] scene_S_mid/seed6: patches=708 init=3 gt_gaps=65 full_st=9 setup=1.1s
[e2]   B0_random: status=ok awc=0.529 len=109m st=6 (0.53s)
[e2]   Bdisp_maxmin: status=ok awc=0.984 len=226m st=6 (1.53s)
[e2]   Bbim_offline: status=ok awc=0.993 len=186m st=6 (0.98s)
[e2]   B1_patent: status=ok awc=0.893 len=113m st=6 (6.49s)
[e2]   B5_occ_rng: status=ok awc=0.993 len=215m st=6 (22.97s)
[e2]   B10_full: status=ok awc=0.994 len=131m st=6 (169.87s)
[e2] scene_S_mid/seed7: patches=654 init=3 gt_gaps=79 full_st=10 setup=2.1s
[e2]   B0_random: status=ok awc=0.713 len=73m st=6 (1.13s)
[e2]   Bdisp_maxmin: status=ok awc=0.981 len=206m st=6 (9.37s)
[e2]   Bbim_offline: status=ok awc=0.994 len=261m st=6 (2.94s)
[e2]   B1_patent: status=ok awc=0.785 len=85m st=6 (11.07s)
[e2]   B5_occ_rng: status=ok awc=0.982 len=261m st=6 (26.06s)
[e2]   B10_full: status=ok awc=0.990 len=174m st=6 (174.67s)
[e2] scene_M_mid/seed0: patches=846 init=3 gt_gaps=89 full_st=21 setup=1.4s
[e2]   B0_random: status=ok awc=0.718 len=194m st=6 (0.48s)
[e2]   Bdisp_maxmin: status=ok awc=0.867 len=207m st=6 (1.21s)
[e2]   Bbim_offline: status=ok awc=0.897 len=292m st=6 (1.48s)
[e2]   B1_patent: status=ok awc=0.708 len=187m st=6 (10.38s)
[e2]   B5_occ_rng: status=ok awc=0.828 len=299m st=6 (56.64s)
[e2]   B10_full: status=ok awc=0.997 len=165m st=6 (418.49s)
[e2] scene_M_mid/seed1: patches=858 init=3 gt_gaps=90 full_st=21 setup=2.9s
[e2]   B0_random: status=ok awc=0.574 len=191m st=6 (1.45s)
[e2]   Bdisp_maxmin: status=ok awc=0.767 len=262m st=6 (3.1s)
[e2]   Bbim_offline: status=ok awc=0.867 len=257m st=6 (4.12s)
[e2]   B1_patent: status=ok awc=0.638 len=198m st=6 (18.96s)
[e2]   B5_occ_rng: status=ok awc=0.751 len=345m st=6 (87.6s)
[e2]   B10_full: status=ok awc=0.825 len=174m st=6 (328.23s)
[e2] scene_M_mid/seed2: patches=864 init=3 gt_gaps=83 full_st=22 setup=1.7s
[e2]   B0_random: status=ok awc=0.719 len=202m st=6 (0.7s)
[e2]   Bdisp_maxmin: status=ok awc=0.789 len=315m st=6 (3.26s)
[e2]   Bbim_offline: status=ok awc=0.960 len=270m st=6 (1.4s)
[e2]   B1_patent: status=ok awc=0.621 len=190m st=6 (18.23s)
[e2]   B5_occ_rng: status=ok awc=0.782 len=347m st=6 (112.93s)
[e2]   B10_full: status=ok awc=0.961 len=179m st=6 (317.72s)
[e2] scene_M_mid/seed3: patches=840 init=3 gt_gaps=89 full_st=21 setup=1.8s
[e2]   B0_random: status=ok awc=0.883 len=168m st=6 (0.49s)
[e2]   Bdisp_maxmin: status=ok awc=0.841 len=255m st=6 (1.12s)
[e2]   Bbim_offline: status=ok awc=0.935 len=260m st=6 (1.45s)
[e2]   B1_patent: status=ok awc=0.738 len=185m st=6 (10.23s)
[e2]   B5_occ_rng: status=ok awc=0.931 len=338m st=6 (63.76s)
[e2]   B10_full: status=ok awc=0.998 len=201m st=6 (418.12s)
[e2] scene_M_mid/seed4: patches=898 init=3 gt_gaps=96 full_st=21 setup=3.8s
[e2]   B0_random: status=ok awc=0.276 len=127m st=6 (1.21s)
[e2]   Bdisp_maxmin: status=ok awc=0.881 len=344m st=6 (4.67s)
[e2]   Bbim_offline: status=ok awc=0.943 len=238m st=6 (3.9s)
[e2]   B1_patent: status=ok awc=0.748 len=200m st=6 (16.27s)
[e2]   B5_occ_rng: status=ok awc=0.797 len=304m st=6 (88.25s)
[e2]   B10_full: status=ok awc=0.870 len=153m st=6 (391.2s)
[e2] scene_M_mid/seed5: patches=876 init=3 gt_gaps=80 full_st=20 setup=2.8s
[e2]   B0_random: status=ok awc=0.257 len=206m st=6 (1.37s)
[e2]   Bdisp_maxmin: status=ok awc=0.918 len=320m st=6 (3.64s)
[e2]   Bbim_offline: status=ok awc=0.795 len=272m st=6 (3.7s)
[e2]   B1_patent: status=ok awc=0.747 len=200m st=6 (17.39s)
[e2]   B5_occ_rng: status=ok awc=0.754 len=309m st=6 (104.17s)
[e2]   B10_full: status=ok awc=0.874 len=161m st=6 (388.6s)
[e2] scene_M_mid/seed6: patches=888 init=3 gt_gaps=97 full_st=21 setup=2.8s
[e2]   B0_random: status=ok awc=0.581 len=258m st=6 (1.57s)
[e2]   Bdisp_maxmin: status=ok awc=0.907 len=277m st=6 (3.42s)
[e2]   Bbim_offline: status=ok awc=0.976 len=307m st=6 (1.39s)
[e2]   B1_patent: status=ok awc=0.741 len=200m st=6 (15.26s)
[e2]   B5_occ_rng: status=ok awc=0.760 len=304m st=6 (97.4s)
[e2]   B10_full: status=ok awc=0.944 len=194m st=6 (291.41s)
[e2] scene_M_mid/seed7: patches=876 init=3 gt_gaps=115 full_st=22 setup=1.2s
[e2]   B0_random: status=ok awc=0.623 len=118m st=6 (0.69s)
[e2]   Bdisp_maxmin: status=ok awc=0.839 len=281m st=6 (1.8s)
[e2]   Bbim_offline: status=ok awc=0.928 len=292m st=6 (1.36s)
[e2]   B1_patent: status=ok awc=0.743 len=191m st=6 (10.72s)
[e2]   B5_occ_rng: status=ok awc=0.859 len=289m st=6 (71.02s)
[e2]   B10_full: status=ok awc=0.968 len=153m st=6 (386.51s)
[e2] summary → /home/xqin5/patent_gap_nbv/results/exp2/summary.md
